Collecting time,X,Y,Z,
21821,89,-675,316,
21861,89,-663,322,
21901,78,-666,325,
21941,63,-651,340,
21981,56,-619,354,
22022,48,-596,366,
22062,38,-562,382,
22102,29,-491,400,
22142,27,-434,409,
22182,27,-372,407,
22222,24,-295,398,
22262,19,-209,379,
22302,8,-46,292,
22342,-19,90,147,
22382,-31,127,80,
22422,-44,145,19,
22462,-50,156,-53,
22502,-55,155,-105,
22542,-62,148,-166,
22582,-70,137,-195,
22622,-76,131,-224,
22662,-80,116,-262,
22702,-90,104,-284,
22742,-106,95,-300,
22782,-124,76,-331,
22822,-128,62,-353,
22862,-143,46,-370,
22902,-162,17,-399,
22942,-179,-17,-428,
22982,-182,-47,-453,
23023,-185,-74,-474,
23063,-184,-93,-483,
23103,-192,-99,-488,
23143,-196,-121,-497,
23183,-199,-150,-510,
23223,-204,-177,-523,
23263,-209,-216,-535,
23303,-231,-249,-542,
23343,-249,-307,-548,
23383,-271,-367,-549,
23423,-288,-414,-547,
23463,-311,-470,-531,
23503,-331,-558,-509,
23543,-349,-638,-467,
23583,-369,-701,-416,
23623,-391,-772,-333,
23663,-419,-824,-210,
23703,-431,-834,-138,
23743,-441,-832,-67,
23783,-446,-817,-8,
23823,-450,-800,35,
23863,-456,-778,72,
23903,-460,-758,105,
23943,-461,-738,131,
23983,-455,-715,165,
24024,-458,-699,178,
24064,-464,-677,182,
24104,-458,-652,209,
24144,-464,-634,208,
24184,-473,-616,209,
24224,-477,-598,218,
24264,-478,-576,222,
24304,-477,-553,238,
24344,-477,-527,245,
24384,-478,-502,246,
24424,-485,-470,242,
24464,-484,-433,247,
24504,-481,-411,252,
24544,-481,-369,247,
24584,-480,-288,231,
24624,-480,-246,217,
24664,-477,-211,202,
24704,-476,-176,176,
24744,-478,-153,151,
24784,-482,-126,121,
24824,-486,-94,58,
24864,-496,-86,-1,
24904,-509,-92,-62,
24944,-514,-105,-105,
24984,-515,-121,-152,
25025,-518,-158,-209,
25065,-514,-194,-266,
25105,-512,-230,-296,
25145,-506,-251,-318,
25185,-505,-266,-324,
25225,-505,-284,-333,
25265,-504,-306,-343,
25305,-499,-328,-353,
25345,-493,-334,-363,
25385,-493,-346,-365,
25425,-492,-361,-371,
25465,-488,-373,-377,
25505,-488,-384,-372,
25545,-488,-402,-377,
25585,-488,-415,-380,
25625,-488,-422,-375,
25665,-487,-432,-374,
25705,-491,-449,-371,
25745,-491,-480,-366,
25785,-493,-518,-353,
25825,-498,-575,-320,
25865,-504,-618,-275,
25905,-518,-636,-230,
25945,-523,-642,-202,
25985,-531,-649,-175,
26026,-534,-652,-152,
26066,-537,-652,-132,
26106,-538,-651,-112,
26146,-541,-654,-80,
26186,-539,-653,-52,
26226,-541,-651,-26,
26266,-539,-633,16,
26306,-542,-619,38,
26346,-542,-603,56,
26386,-545,-580,75,
26426,-542,-551,98,
26466,-548,-514,114,
26506,-547,-480,126,
26546,-547,-438,136,
26586,-545,-380,135,
26626,-546,-352,129,
26666,-543,-325,130,
26706,-537,-304,130,
26746,-535,-286,127,
26786,-533,-248,112,
26826,-526,-218,104,
26866,-522,-200,95,
26906,-522,-191,79,
26946,-523,-185,82,
26986,-522,-180,74,
27027,-520,-158,42,
27067,-516,-142,32,
27107,-511,-131,26,
27147,-506,-120,15,
27187,-500,-103,15,
27227,-493,-93,13,
27267,-486,-81,4,
27307,-482,-71,-4,
27347,-469,-51,-29,
27387,-459,-34,-55,
27427,-451,-24,-92,
27467,-447,-25,-133,
27507,-451,-42,-178,
27547,-451,-67,-230,
27587,-452,-92,-266,
27627,-453,-152,-327,
27667,-458,-222,-365,
27707,-458,-246,-375,
27747,-460,-290,-390,
27787,-462,-341,-399,
27827,-462,-364,-405,
27867,-452,-404,-411,
27907,-443,-445,-421,
27947,-430,-484,-428,
27987,-419,-526,-431,
28028,-399,-592,-423,
28068,-391,-638,-408,
28108,-376,-669,-398,
28148,-374,-687,-390,
28188,-370,-714,-372,
28228,-361,-747,-352,
28268,-353,-769,-336,
28308,-334,-787,-323,
28348,-328,-808,-305,
28388,-326,-819,-293,
28428,-314,-835,-270,
28468,-298,-853,-252,
28508,-288,-870,-234,
28548,-283,-886,-202,
28588,-274,-899,-167,
28628,-273,-907,-118,
28668,-270,-911,-72,
28708,-270,-911,-27,
28748,-269,-895,43,
28788,-270,-870,113,
28828,-267,-844,158,
28868,-269,-790,223,
28908,-278,-742,270,
28948,-279,-712,287,
28988,-279,-662,324,
29029,-271,-618,346,
29069,-261,-574,365,
29109,-267,-499,386,
29149,-258,-416,397,
29189,-240,-332,398,
29229,-227,-252,388,
29269,-229,-203,372,
29309,-236,-162,355,
29349,-227,-98,330,
29389,-222,-67,310,
29429,-219,-33,284,
29469,-202,-5,267,
29509,-199,2,266,
29549,-194,11,259,
29589,-192,31,245,
29629,-196,38,235,
29669,-187,45,234,
29709,-188,71,198,
29749,-190,100,162,
29789,-180,118,135,
29829,-179,141,81,
29869,-179,159,14,
29909,-183,169,-56,
29949,-195,157,-167,
29989,-204,139,-229,
30030,-210,121,-269,
30070,-218,78,-347,
30110,-220,39,-391,
30150,-216,15,-420,
30190,-214,-23,-455,
30230,-214,-54,-476,
30270,-212,-89,-504,
30310,-189,-174,-545,
30350,-178,-262,-571,
30390,-176,-318,-585,
30430,-181,-379,-589,
30470,-178,-433,-588,
30510,-172,-472,-586,
30550,-171,-496,-583,
30590,-171,-519,-580,
30630,-168,-540,-577,
30670,-164,-567,-569,
30710,-172,-610,-556,
30750,-179,-636,-546,
30790,-175,-674,-528,
30830,-176,-706,-513,
30870,-188,-741,-489,
30910,-200,-800,-443,
30950,-211,-836,-407,
30990,-216,-864,-378,
31031,-225,-896,-331,
31071,-228,-908,-304,
31111,-230,-928,-263,
31151,-243,-958,-166,
31191,-246,-968,-70,
31231,-250,-939,71,
31271,-246,-889,182,
31311,-243,-869,209,
31351,-243,-853,229,
31391,-231,-818,270,
31431,-214,-767,315,
31471,-209,-715,351,
31511,-210,-644,387,
31551,-216,-592,405,
31591,-217,-561,413,
31631,-221,-518,421,
31671,-225,-460,424,
31711,-225,-424,431,
31751,-220,-391,430,
31791,-235,-345,425,
31831,-249,-287,409,
31871,-248,-232,396,
31911,-244,-192,384,
31951,-256,-142,361,
31991,-269,-114,341,
32032,-288,-48,287,
32072,-310,18,217,
32112,-321,58,148,
32152,-328,89,68,
32192,-347,97,7,
32232,-355,96,-7,
32272,-376,90,-69,
32312,-385,79,-123,
32352,-395,62,-166,
32392,-399,37,-231,
32432,-406,-6,-301,
32472,-418,-54,-343,
32512,-433,-112,-377,
32552,-440,-144,-396,
32592,-449,-167,-400,
32632,-459,-187,-401,
32672,-472,-208,-397,
32712,-492,-237,-384,
32752,-509,-263,-375,
32792,-514,-291,-377,
32832,-517,-322,-378,
