Collecting time,X,Y,Z,
20580,36,-776,-340,
20620,-2,-737,-411,
20660,-55,-673,-470,
20700,-140,-630,-512,
20740,-234,-629,-503,
20780,-315,-625,-478,
20820,-402,-648,-418,
20860,-440,-711,-347,
20900,-428,-804,-254,
20940,-380,-878,-208,
20980,-273,-945,-185,
21021,-123,-983,-170,
21061,44,-954,-187,
21101,143,-841,-299,
21141,122,-720,-396,
21181,43,-683,-431,
21221,-11,-695,-429,
21261,-42,-733,-415,
21301,-64,-796,-369,
21341,-90,-849,-325,
21381,-118,-898,-274,
21421,-160,-924,-231,
21461,-218,-944,-190,
21501,-263,-956,-138,
21541,-324,-942,-78,
21581,-389,-897,11,
21621,-420,-835,111,
21661,-424,-762,200,
21701,-405,-684,271,
21741,-387,-601,324,
21781,-365,-508,364,
21821,-357,-395,384,
21861,-348,-257,379,
21901,-324,-90,331,
21941,-235,62,256,
21981,-33,128,205,
22022,221,-13,185,
22062,329,-293,146,
22102,310,-486,102,
22142,269,-601,39,
22182,234,-675,-37,
22222,190,-735,-117,
22262,146,-762,-203,
22302,101,-761,-297,
22342,43,-740,-380,
22382,-12,-704,-443,
22422,-71,-654,-493,
22462,-141,-608,-522,
22502,-230,-600,-517,
22542,-329,-614,-479,
22582,-395,-657,-419,
22622,-439,-717,-348,
22662,-434,-802,-263,
22702,-376,-885,-219,
22742,-273,-954,-204,
22782,-124,-979,-245,
22822,28,-886,-343,
22862,49,-722,-438,
22902,26,-665,-446,
22942,18,-666,-435,
22982,4,-703,-421,
23023,-18,-739,-411,
23063,-44,-776,-393,
23103,-86,-808,-381,
23143,-136,-851,-346,
23183,-202,-898,-291,
23223,-311,-912,-210,
23263,-411,-885,-106,
23303,-464,-836,16,
23343,-467,-786,124,
23383,-440,-735,207,
23423,-421,-675,274,
23463,-409,-595,319,
23503,-405,-500,350,
23543,-411,-359,359,
23583,-384,-186,341,
23623,-303,-37,315,
23663,-182,70,278,
23703,6,73,264,
23743,163,-83,271,
23783,223,-287,252,
23823,232,-442,210,
23863,236,-550,134,
23903,238,-623,36,
23943,216,-690,-69,
23983,172,-739,-183,
24024,113,-756,-288,
24064,39,-747,-372,
24104,-28,-708,-444,
24144,-83,-653,-494,
24184,-144,-604,-520,
24224,-219,-584,-526,
24264,-291,-582,-510,
24304,-357,-609,-472,
24344,-403,-689,-403,
24384,-402,-774,-345,
24424,-346,-871,-297,
24464,-228,-954,-260,
24504,-95,-958,-297,
24544,35,-881,-343,
24584,70,-781,-379,
24624,24,-718,-422,
24664,-12,-704,-428,
24704,-57,-708,-442,
24744,-148,-693,-465,
24784,-238,-702,-453,
24824,-314,-725,-417,
24864,-365,-765,-367,
24904,-432,-784,-296,
24944,-521,-745,-208,
24984,-582,-697,-88,
25025,-614,-597,24,
25065,-611,-465,120,
25105,-582,-352,172,
25145,-545,-268,203,
25185,-496,-193,227,
25225,-443,-99,218,
25265,-386,6,163,
25305,-308,114,42,
25345,-242,146,-157,
25385,-230,74,-345,
25425,-252,-48,-465,
25465,-287,-289,-568,
25505,-306,-581,-554,
25545,-209,-756,-518,
25585,69,-788,-428,
25625,284,-618,-252,
25665,326,-419,-136,
25705,309,-317,-34,
25745,274,-265,64,
25785,225,-239,168,
25825,154,-233,258,
25865,77,-239,325,
25905,2,-248,369,
25945,-86,-291,402,
25985,-166,-341,414,
